,r,theta
0,0.19890440815036395,0.5564605839694426
1,0.21017750932736645,0.5893397109452485
2,0.2082802417645308,0.6166998475493798
3,0.2154964804324369,0.6233132374004275
4,0.21089263730205582,0.639852951548697
5,0.20750879754126425,0.6584325880069619
6,0.2071551114787741,0.6841991960502434
7,0.20783986583771663,0.6808142894864334
8,0.21370404065286766,0.6683760095151989
9,0.21682982048454444,0.6600044174494734
10,0.23055258626321798,0.6720855573549902
11,0.22817314704659655,0.6760172258404858
12,0.2319412983201583,0.6778573539461221
13,0.223718256267146,0.68573566651674
14,0.22430076689360576,0.690339989989404
15,0.2143121785444361,0.7123915602138838
16,0.4496693458190983,0.3733503530179635
17,0.21509655049452453,0.6961009638020135
18,0.1483664149803922,0.7932490167672517
19,0.13490515343460627,0.8114403670621536
20,0.10789652837175837,1.021549059030771
21,0.10660037517368388,1.0361459776044395
22,0.10053280845779183,1.1235697789276569
23,0.08646321227370121,1.1325922783780298
24,0.0912217760966129,1.0620162572745353
25,0.08622008146548754,1.0669410618371606
26,0.08647658862098756,1.1031439920346915
27,0.08231357805985287,1.162025857505824
28,0.08435294470120439,1.1732245198135969
29,0.08177970718157458,1.1855314879824337
30,0.0851389483443606,1.146483238629386
31,0.08649068585136548,1.104754435384917
32,0.08087388301518564,1.1365905598329922
33,0.08265594057138058,1.159914890126967
34,0.0992195050166764,1.0172717513075467
35,0.11767046800447901,0.8411035401637941
36,0.11514952502513309,0.8401204953007814
37,0.14387124961810233,0.8463155696557388
38,0.1452985153655559,0.8149514827535236
39,0.14863847883738718,0.8018418324227652
40,0.14945511767824549,0.8009163157771287
41,0.1585344878248167,0.8158016304187372
42,0.16149962885142236,0.8084314769772892
43,0.1624797907415433,0.8350631668264603
44,0.1604301139477298,0.8540802986605658
45,0.16169582215817377,0.844457593487034
46,0.16343913633939405,0.8511913696675839
47,0.16622622963357947,0.8158059101783164
48,0.14674344828221345,0.6955604807916443
49,0.13935922644790188,0.6548045398924169
50,0.13599415177536048,0.6313406807229301
51,0.1263658911710389,0.5912932174056394
52,0.12078131230729024,0.5949546280410813
53,0.114309614221475,0.600315482019622
54,0.09774242318463387,0.6587463367206653
55,0.08921133819333418,0.7589915117608343
56,0.08566327359172421,0.8458329301088486
57,0.08483317119220934,0.9866974651715414
58,0.07931120058618676,1.3330456795233587
59,0.08250961870574944,1.349044559579361
60,0.0821565575379781,1.3317557941407774
61,0.09479161583858926,1.4874229706968138
62,0.09877395196289344,1.454476910546595
63,0.0858223274292817,1.3046954338226937
64,0.08973730856628848,1.31117037690202
65,0.11258425265619476,1.0686402618755957
66,0.11269699909039185,1.065636454674708
67,0.12155765567297597,0.9728383465225408
68,0.13241445335223992,0.9139907207784022
69,0.14291179380929425,0.9161753443985016
70,0.16296556484090916,0.8502264495889255
71,0.16564283510764774,0.8491987861159247
72,0.17356880598351965,0.8358424584112831
73,0.17036134929070057,0.9036418945283564
74,0.17354343500077613,0.8909189420465391
75,0.17326742116432664,0.8968416496683089
76,0.17284257568863737,0.9299864781596539
77,0.17710711522698672,0.910478819646243
78,0.18096815450045714,0.9075250469865919
