,force,touch
0,498, 1
1,514, 1
2,528, 1
3,537, 1
4,547, 1
5,551, 1
6,553, 1
7,555, 1
8,556, 1
9,553, 1
10,554, 1
11,553, 1
12,542, 1
13,520, 1
14,449, 1
15,261, 1
16,75, 1
17,0, 1
18,1, 0
19,1, 0
20,2, 0
21,1, 0
22,2, 0
23,1, 0
24,1, 0
25,2, 0
26,1, 0
27,2, 0
28,1, 0
29,1, 0
30,225, 1
31,274, 1
32,342, 1
33,382, 1
34,383, 1
35,334, 1
36,242, 1
37,158, 1
38,89, 1
39,1, 1
40,1, 1
41,1, 0
42,2, 0
43,2, 0
44,1, 0
45,1, 0
46,1, 0
47,2, 0
48,0, 0
49,1, 0
50,1, 0
51,361, 1
52,1, 1
53,333, 1
54,186, 1
55,23, 1
56,1, 0
57,1, 0
58,1, 0
59,1, 0
60,1, 0
61,2, 0
62,1, 0
63,1, 0
64,1, 0
65,2, 0
66,2, 0
67,3, 0
68,406, 1
69,323, 1
70,1, 1
71,91, 1
72,15, 1
73,1, 1
74,1, 0
75,2, 0
76,1, 0
77,2, 0
78,1, 0
79,2, 0
80,2, 0
81,0, 0
82,2, 0
83,2, 1
84,121, 1
85,3, 1
86,26, 1
87,0, 1
88,0, 0
89,1, 0
90,1, 0
91,3, 0
92,2, 0
93,1, 0
94,1, 0
95,1, 0
96,1, 0
97,2, 0
98,1, 0
99,2, 0
100,1, 0
101,377, 1
102,227, 1
103,126, 1
104,51, 1
105,1, 1
106,2, 0
107,2, 0
108,1, 0
109,1, 0
110,3, 0
111,1, 1
112,207, 1
113,201, 1
114,191, 1
115,192, 1
116,186, 1
117,182, 1
118,178, 1
119,181, 1
120,174, 1
121,175, 1
122,176, 1
123,180, 1
124,193, 1
125,185, 1
126,160, 1
127,3, 1
128,1, 1
129,2, 1
130,1, 0
131,1, 0
132,2, 0
133,2, 0
134,1, 0
135,133, 1
136,1, 1
137,1, 1
138,2, 1
