,force,touch
0,1, 0
1,2, 0
2,1, 0
3,2, 0
4,1, 0
5,1, 0
6,2, 0
7,1, 0
8,2, 0
9,2, 0
10,2, 0
11,3, 0
12,0, 0
13,2, 0
14,2, 0
15,1, 0
16,62, 1
17,157, 1
18,228, 1
19,263, 1
20,258, 1
21,256, 1
22,226, 1
23,134, 1
24,61, 1
25,2, 1
26,2, 0
27,1, 0
28,1, 0
29,2, 0
30,3, 0
31,1, 0
32,1, 0
33,1, 0
34,1, 0
35,1, 0
36,2, 0
37,2, 0
38,117, 1
39,241, 1
40,207, 1
41,100, 1
42,2, 1
43,1, 0
44,2, 0
45,1, 0
46,1, 0
47,2, 0
48,1, 0
49,3, 0
50,1, 0
51,1, 0
52,2, 0
53,1, 0
54,1, 0
55,1, 0
56,1, 0
57,132, 0
58,82, 1
59,42, 1
60,1, 1
61,2, 0
62,1, 0
63,1, 0
64,2, 0
65,0, 0
66,2, 0
67,2, 0
68,1, 0
69,1, 0
70,1, 0
71,1, 0
72,0, 0
73,1, 0
74,1, 0
75,2, 0
76,291, 1
77,300, 1
78,250, 1
79,95, 1
80,33, 1
81,1, 1
82,2, 0
83,3, 0
84,1, 0
85,2, 0
86,1, 0
87,2, 0
88,1, 0
89,2, 0
90,2, 0
91,1, 0
92,2, 0
93,1, 0
94,361, 1
95,262, 1
96,1, 0
97,2, 0
98,156, 1
99,5, 0
100,3, 0
101,1, 0
102,2, 0
103,0, 0
104,1, 0
105,1, 0
106,2, 0
107,1, 0
108,1, 0
109,196, 1
