,force,touch
1,1, 0
2,1, 0
3,2, 0
4,1, 0
5,1, 0
6,1, 0
7,2, 0
8,2, 0
9,1, 0
10,2, 0
11,1, 0
12,3, 0
13,2, 0
14,1, 0
15,1, 0
16,1, 0
17,2, 0
18,2, 0
19,1, 0
20,1, 0
21,1, 0
22,1, 0
23,2, 0
24,1, 0
25,1, 0
26,1, 0
27,1, 0
28,1, 0
29,4, 0
30,1, 0
31,1, 0
32,1, 0
33,1, 0
34,2, 0
35,2, 0
36,1, 0
37,2, 0
38,1, 0
39,1, 0
40,1, 0
41,3, 0
42,3, 0
43,1, 0
44,1, 0
45,1, 0
46,2, 0
47,2, 0
48,1, 0
49,1, 0
50,3, 0
51,2, 0
52,1, 0
53,2, 0
54,1, 0
55,1, 0
56,2, 0
57,1, 0
58,1, 0
59,2, 0
60,1, 0
61,2, 0
62,1, 0
63,1, 0
64,2, 0
65,1, 0
66,1, 0
67,1, 0
68,1, 0
69,2, 0
70,1, 0
71,2, 0
72,2, 0
73,1, 0
74,2, 0
75,1, 0
76,2, 0
77,2, 0
78,1, 0
79,2, 0
80,1, 0
81,1, 0
82,4, 0
83,1, 0
84,2, 0
85,1, 0
86,1, 0
87,3, 0
88,1, 0
89,1, 0
90,1, 0
91,1, 0
92,2, 0
93,1, 0
94,1, 0
95,1, 0
96,1, 0
97,1, 0
98,1, 0
99,2, 0
100,2, 0
101,1, 0
102,2, 0
103,1, 0
104,2, 0
105,1, 0
106,1, 0
107,1, 0
108,1, 0
109,2, 0
110,1, 0
111,1, 0
112,2, 0
113,1, 0
114,2, 0
115,1, 0
116,1, 0
117,2, 0
118,2, 0
119,2, 0
120,2, 0
121,1, 0
122,4, 0
123,0, 0
124,2, 0
125,2, 0
126,3, 0
127,2, 0
128,1, 0
129,2, 0
130,2, 0
131,1, 0
132,2, 0
133,1, 0
134,1, 0
135,2, 0
136,1, 0
137,2, 0
138,1, 0
139,2, 0
140,2, 0
141,1, 0
142,2, 0
143,1, 0
144,1, 0
145,2, 0
146,1, 0
147,2, 0
148,2, 0
149,2, 0
150,3, 0
151,2, 0
152,2, 0
153,2, 0
154,2, 0
155,3, 0
156,1, 0
157,3, 0
158,3, 0
159,1, 0
160,2, 0
161,1, 0
162,4, 0
163,1, 0
164,1, 0
165,2, 0
166,3, 0
167,2, 0
168,1, 0
169,2, 0
170,3, 0
171,1, 0
172,3, 0
173,1, 0
174,2, 0
175,2, 0
176,1, 0
177,3, 0
178,1, 0
179,1, 0
180,3, 0
181,1, 0
182,3, 0
183,0, 0
184,2, 0
185,3, 0
186,1, 0
187,1, 0
188,3, 0
189,1, 0
190,3, 0
191,1, 0
192,1, 0
193,3, 0
194,3, 0
195,3, 0
196,1, 0
197,1, 0
198,3, 0
199,2, 0
200,3, 0
201,1, 0
202,3, 0
203,3, 0
204,1, 0
205,1, 0
206,0, 0
207,0,0
