,force,touch
0,1, 0
1,3, 0
2,1, 0
3,2, 0
4,3, 0
5,1, 0
6,4, 0
7,1, 0
8,1, 0
9,1, 0
10,2, 0
11,1, 1
12,1, 1
13,1, 1
14,4, 1
15,1, 1
16,1, 1
17,1, 0
18,1, 0
19,2, 0
20,2, 0
21,1, 0
22,1, 0
23,1, 0
24,1, 0
25,3, 0
26,1, 0
27,1, 0
28,2, 1
29,1, 1
30,1, 1
31,2, 1
32,1, 1
33,2, 1
34,1, 1
35,1, 1
36,3, 1
37,2, 1
38,3, 1
39,1, 1
40,1, 1
41,1, 0
42,1, 0
43,0, 0
44,1, 0
45,2, 0
46,3, 0
47,2, 0
48,2, 0
49,1, 0
50,2, 1
51,1, 1
52,2, 1
53,1, 1
54,2, 1
55,2, 1
56,1, 1
57,1, 1
58,2, 1
59,1, 1
60,1, 1
61,2, 1
62,1, 1
63,4, 0
64,2, 0
65,1, 0
66,2, 0
67,1, 0
68,1, 0
69,1, 1
70,1, 0
71,2, 0
72,1, 0
73,2, 0
74,2, 0
75,1, 1
76,2, 1
77,2, 1
78,3, 1
79,2, 1
80,1, 0
81,1, 0
82,3, 0
83,1, 0
84,2, 0
85,2, 0
86,2, 0
87,1, 0
88,2, 0
89,1, 0
90,1, 0
91,1, 0
92,1, 0
93,2, 0
94,1, 0
95,1, 0
96,1, 0
97,1, 1
98,2, 1
99,2, 1
100,1, 1
101,1, 1
102,1, 1
103,2, 1
104,2, 1
105,1, 1
106,1, 1
107,1, 1
108,1, 1
109,2, 1
110,1, 1
111,1, 0
112,2, 0
113,2, 0
114,1, 0
115,2, 0
116,1, 0
117,2, 0
118,1, 0
119,1, 0
120,2, 0
121,1, 0
122,1, 0
123,1, 1
124,1, 1
125,3, 1
126,1, 1
127,1, 1
128,0, 1
129,1, 1
130,0, 1
131,1, 1
132,1, 1
133,0, 1
134,1, 1
135,2, 1
136,1, 1
137,1, 1
138,2, 1
139,1, 1
140,2, 1
141,3, 1
142,0, 1
143,2, 1
144,2, 1
145,3, 1
146,3, 1
147,1, 1
148,3, 1
149,1, 1
150,1, 1
151,1, 1
152,2, 1
153,1, 1
154,156, 1
155,192, 1
156,235, 1
157,168, 1
158,100, 1
159,39, 1
160,3, 1
161,2, 1
162,2, 1
163,1, 1
164,3, 1
165,3, 1
166,3, 1
167,2, 1
168,1, 1
169,176, 1
170,261, 1
171,320, 1
172,284, 1
173,192, 1
174,74, 1
175,1, 1
176,2, 1
177,2, 1
178,2, 1
179,1, 1
180,2, 1
181,2, 1
182,1, 1
183,2, 1
184,1, 1
185,3, 1
186,200, 1
187,312, 1
188,328, 1
189,316, 1
190,243, 1
191,142, 1
192,62, 1
193,1, 1
194,1, 1
195,1, 1
196,1, 1
197,1, 1
198,1, 1
199,2, 1
200,2, 1
201,1, 1
202,115, 1
203,200, 1
204,241, 1
