,force,touch
0,1, 1
1,2, 1
2,1, 1
3,1, 1
4,1, 1
5,1, 1
6,2, 1
7,1, 1
8,1, 1
9,2, 1
10,1, 1
11,2, 1
12,0, 1
13,1, 1
14,2, 1
15,1, 1
16,3, 1
17,1, 1
18,0, 1
19,1, 1
20,1, 1
21,3, 1
22,1, 1
23,1, 1
24,1, 1
25,1, 1
26,1, 0
27,1, 1
28,0, 1
29,1, 1
30,2, 1
31,1, 1
32,1, 1
33,1, 1
34,1, 1
35,2, 1
36,2, 1
37,0, 1
38,2, 1
39,1, 1
40,2, 1
41,0, 1
42,0, 1
43,0, 1
44,1, 1
45,22, 1
46,47, 1
47,142, 1
48,205, 1
49,244, 1
50,251, 1
51,232, 1
52,210, 1
53,175, 1
54,110, 1
55,20, 1
56,1, 1
57,2, 1
58,0, 1
59,2, 1
60,1, 1
61,1, 1
62,2, 1
63,2, 1
64,2, 1
65,213, 1
66,264, 1
67,313, 1
68,331, 1
69,337, 1
70,337, 1
71,326, 1
72,280, 1
73,216, 1
74,159, 1
75,112, 1
76,65, 1
77,1, 1
78,1, 1
79,1, 1
80,1, 1
81,1, 1
82,1, 1
83,1, 1
84,1, 1
85,1, 1
86,263, 1
87,316, 1
88,392, 1
89,418, 1
90,426, 1
91,422, 1
92,389, 1
93,322, 1
94,215, 1
95,99, 1
96,30, 1
97,1, 1
98,1, 1
99,1, 0
100,2, 0
101,0, 0
102,1, 0
103,3, 0
104,1, 0
105,2, 0
106,1, 0
107,0, 0
108,1, 1
109,0, 1
110,1, 1
111,2, 1
112,2, 1
113,1, 1
114,1, 1
115,2, 1
116,1, 1
117,2, 1
118,1, 1
119,1, 1
120,0, 1
121,1, 1
122,2, 1
123,1, 1
124,1, 1
125,1, 1
126,0, 1
127,2, 1
128,1, 1
129,1, 1
130,2, 1
131,15, 1
132,162, 1
133,244, 1
134,283, 1
135,295, 1
136,314, 1
137,312, 1
138,288, 1
139,258, 1
140,198, 1
141,40, 1
142,1, 1
143,1, 1
144,2, 1
145,2, 1
146,1, 1
147,2, 1
148,1, 1
149,2, 1
150,244, 1
151,334, 1
152,344, 1
153,359, 1
154,335, 1
155,256, 1
156,155, 1
157,32, 1
158,1, 1
159,2, 1
160,1, 1
161,2, 1
162,1, 1
163,1, 1
164,1, 1
165,304, 1
166,406, 1
167,444, 1
168,454, 1
169,438, 1
170,403, 1
171,357, 1
172,289, 1
173,85, 1
174,1, 1
175,1, 1
176,1, 1
177,2, 1
178,1, 1
179,1, 1
180,2, 1
181,1, 1
182,305, 1
183,401, 1
184,440, 1
185,430, 1
186,397, 1
187,314, 1
188,178, 1
189,41, 1
190,2, 1
191,1, 1
192,1, 1
193,2, 1
194,2, 1
195,1, 1
196,2, 1
197,1, 1
198,234, 1
199,320, 1
200,428, 1
201,464, 1
202,496, 1
203,505, 1
204,494, 1
205,446, 1
206,342, 1
207,239, 1
208,4, 1
209,1, 1
210,1, 0
211,2, 0
212,1, 0
213,1, 0
214,3, 0
215,1, 0
216,318, 1
217,421, 1
218,479, 1
219,479, 1
220,455, 1
221,403, 1
222,331, 1
223,260, 1
224,145, 1
225,1, 1
226,2, 1
227,1, 1
228,2, 1
